"up_mid","视频标题","视频链接","bvid","播放数","弹幕数","投币数","点赞数","分享数","收藏数","cid","分区","封面","时长（秒）","粉丝数","历史点赞数","历史稿件数","p_rating","源文件","封面评论","trending","emotion","visual","creativity"
3546385454467834,"AWM天平座","https://www.bilibili.com/video/BV1o5XWYKEoc","BV1o5XWYKEoc",22,0,0,1,0,1,29012461252,"手机游戏","http://i1.hdslb.com/bfs/archive/2529dea94c2f61553765bb92aba12e4240b8be60.jpg",325,57,299,218,1.371559633027523,"merged.csv","图中无标题文字。画面构图以卡通风格为主，中心是一个手持粉色枪械的Q版角色，背景为沙漠场景，色彩明亮且对比度高，主要以粉色、绿色和黄色为主。吸睛元素为角色手中的枪械和鲜艳的服饰。整体感觉活泼、可爱，具有游戏或动画风格的趣味性。",0.65,0.72,0.88,0.75
1458216848,"แค่เรียกหา (Call My Name) 只要呼唤 ——SkyNani（逐词翻译+中文音译+罗马音）","https://www.bilibili.com/video/BV1TvXWYQEVp","BV1TvXWYQEVp",317,0,3,18,0,10,29010167370,"音乐综合","http://i0.hdslb.com/bfs/archive/b7b26f85d7b9c3d3ba990cb24327e2a403844f8f.jpg",212,5934,37413,407,91.92383292383292,"merged.csv","图中有标题文字，内容为“Call My Name”和“SkyNani”，字体较大，为粗体无衬线字体，颜色为白色，背景为红色。画面构图为两个人物在室内场景中互动，色彩风格偏向复古红蓝配色，吸睛元素是人物的表情和动作。整体感觉戏剧化且充满张力。",0.58,0.69,0.76,0.68
1672352976,"“这苦短的爱就似坠跌升降机”|粤语版-《跳楼机》【Hi-Res】","https://www.bilibili.com/video/BV1uaXWY9E6g","BV1uaXWY9E6g",2376,1,3,30,3,23,29009248398,"音乐综合","http://i2.hdslb.com/bfs/archive/c39026263c396b6959566a5d908742acd9ac3df0.jpg",201,2981,63150,31,2037.0967741935483,"merged.csv","图中有标题文字，内容为“【跳楼机·粤语版】”，字体为白色，粗体，大小适中，位于画面顶部。画面构图以中央的女性形象为主视觉焦点，背景为充满霓虹灯光的电子屏幕效果，色彩风格鲜艳、对比强烈，以蓝色和粉色为主。吸睛元素包括女性形象、霓虹灯光和标题文字。整体感觉现代、动感且充满科技感。",0.73,0.81,0.85,0.79
3546755410954424,"Minecraft 爷【青】回  !! 【⭐️阿神❤️同款青鬼⭐️】被青鬼吓到 !! 【全员娇❤️喘中😂】你100%没看过  !! 超爆笑🤣  !! 全字幕","https://www.bilibili.com/video/BV1MaXWY9EpZ","BV1MaXWY9EpZ",26989,231,578,2641,121,1235,29007873039,"单机游戏","http://i2.hdslb.com/bfs/archive/e5bb017f9b8da406db6e0dcd3bcbdd31455f5999.jpg",2544,2161,3035,2,1517.5,"merged.csv","图中有标题文字，内容为“阿神阿神，背景音乐：全员娇喘中”。文字大小适中，样式为粗体，颜色为白色和黄色，带有黑色描边。

画面构图以两个卡通人物为主体，左侧人物为橙色头发、穿着棕色衣服，右侧人物为蓝色头发、穿着白色衣服。背景为浅蓝色和白色方块拼接风格。色彩风格鲜明，以蓝色、橙色和白色为主。吸睛元素包括人物夸张的表情和动作，以及标题文字的醒目位置。整体感觉活泼、幽默且充满动感。",0.82,0.89,0.91,0.84
3546874491439952,"速通酸碱盐必考方程式！看到就是赚到！","https://www.bilibili.com/video/BV1jfXWYKEXg","BV1jfXWYKEXg",23204,42,295,1035,141,1357,29008659376,"校园学习","http://i0.hdslb.com/bfs/archive/c4d1c7d1cc2f7671b2abc3d6b6b9537973a942c4.jpg",494,129,132,1,132.0,"merged.csv","图中有标题文字，内容为“酸碱盐必考方程式”，字体为白色，大小适中，样式为简洁的无衬线字体。画面构图为蓝色背景，文字居中，右下角有一个卡通形象（白发女孩），整体色彩风格简洁明快，蓝色背景与白色文字形成鲜明对比，吸睛元素为标题文字和卡通形象。整体感觉清新、直观，突出学习主题。",0.71,0.65,0.78,0.72
1805680,"林瓜瓜含泪A掉邪恶光环，到底发生了什么？魔兽争霸3","https://www.bilibili.com/video/BV1KJXsYQERA","BV1KJXsYQERA",14247,245,26,354,0,15,29007613557,"电子竞技","http://i2.hdslb.com/bfs/archive/9460f8e281561a1c26e49b3c5d6600b79697a674.jpg",1131,108130,1179394,2341,503.7992310978215,"merged.csv","图中有标题文字，文字为“含泪A掉 邪恶光环”，字体较大，白色底色带黑色描边，样式醒目。画面构图为《魔兽争霸3》游戏界面，色彩以绿色和深色调为主，充满战争氛围。吸睛元素包括游戏单位、建筑和战斗场景，整体感觉紧张刺激，具有竞技和策略感。",0.68,0.74,0.82,0.77
702946472,"“明天见” 才是最浪漫的三个字，我在辽宁等你。晚安~","https://www.bilibili.com/video/BV1uLXsYsEHu","BV1uLXsYsEHu",837,0,4,58,1,3,29007742247,"出行","http://i0.hdslb.com/bfs/archive/f6a1da0121031c2b9cea1b1451fa882ebbbd2726.jpg",16,114924,4493081,3329,1349.6788825473116,"merged.csv","图中有标题文字，内容为“辽宁大集”，字体为白色，大小适中，样式简洁。画面构图上，前景是盛开的红色野花，中景是起伏的山丘，远景是天空与海面的交界线。色彩风格以暖色调为主，红色与橙黄色渐变的天空形成对比，整体感觉宁静而自然。吸睛元素是前景的红色花海和远处的夕阳余晖。",0.62,0.78,0.75,0.66
3493141009140384,"只要不停产，就可以一直喝的“口粮茶”，价格都不超过200元","https://www.bilibili.com/video/BV1ULXsYWEqU","BV1ULXsYWEqU",2160,23,2,34,0,11,29007611217,"美食测评","http://i2.hdslb.com/bfs/archive/ec331dafcd014a1eb3a719d52221ebfff04e4de5.jpg",145,43097,199668,988,202.0931174089069,"merged.csv","图中有标题文字，内容为“只要不停产 就可以一直喝”，字体为粗体黑体，较大且醒目。画面构图为左右对称的两本红色封面书籍，中间夹着文字标题，书籍封面有复古风格的插画和文字。色彩风格以红色为主，辅以黑白插画和文字，整体感觉复古且具有宣传性质，吸睛元素为中间的标题文字和书籍封面的对称设计。",0.59,0.63,0.71,0.65
1957355600,"3个操作简单能学好数学的小技巧","https://www.bilibili.com/video/BV1kxXsY2EUD","BV1kxXsY2EUD",34,0,0,0,0,0,29007480152,"校园学习","http://i2.hdslb.com/bfs/archive/9734bed5e7c273d6d28e4166b22f316904cf9424.jpg",151,5453,9190,924,9.945887445887443,"merged.csv","图中有标题文字，内容为“3个操作简单能学好数学的小技巧”，字体为白色，背景为蓝色气泡框，字体大小适中，样式简洁明了。画面构图以人物为主，背景模糊，突出人物动作和标题；色彩风格以蓝色和白色为主，清新明亮；吸睛元素是标题气泡框和人物手势；整体感觉活泼、教育性强且易于吸引注意力。",0.67,0.72,0.79,0.73
1593520872,"笔记本装完系统左右键坏了，用胶带维修，拆装好几遍成功修好","https://www.bilibili.com/video/BV1P6XHY6EAK","BV1P6XHY6EAK",168,0,0,6,0,0,29006957718,"数码","http://i1.hdslb.com/bfs/archive/d9a0125f6d43058bda55b74251bb98fdff8c77fe.jpg",84,5140,197447,781,252.8130601792573,"merged.csv","图中无标题文字。画面构图为一人正在操作电子设备或零件，背景为工作台，桌面上散落着螺丝、工具和电子元件。色彩风格以深色调为主，工具和零件的金属光泽增加了视觉对比。吸睛元素为人物的手部动作和桌面上的细节特写，整体感觉专业、实用，具有技术性和动手操作的氛围。",0.55,0.61,0.68,0.62
3461578345155240,"【助眠】日本小姐姐温柔的耳语\掏耳\按摩（中日双语字幕）","https://www.bilibili.com/video/BV1NiXHYVEPn","BV1NiXHYVEPn",36,0,2,2,0,3,29006696426,"日常","http://i0.hdslb.com/bfs/archive/2de96efb3bf5207ebe0ca5c0e85cfe430fbb07b6.jpg",2421,34,367,63,5.825396825396825,"merged.csv","图中有标题文字，为“ASMR 中日双语字幕”，字体为白色，大小适中，采用简洁的无衬线字体。画面构图以人物面部特写为主，色彩风格柔和，主要以白色和淡粉色为主调。吸睛元素是人物的眼神和手中的物品（类似耳勺），整体感觉清新、治愈且具有亲和力。",0.75,0.85,0.9,0.8
3546393457199232,"逃离地狱预选赛5 | 真人快打1 | 第6赛季","https://www.bilibili.com/video/BV1ZQXHYwEJj","BV1ZQXHYwEJj",242,0,0,6,1,1,29003743827,"单机游戏","http://i2.hdslb.com/bfs/archive/19f749e5ea907f272c4e3750e536e443f69356ae.jpg",10713,2798,174128,2196,79.29326047358835,"merged.csv","图中有标题文字，内容为“SEASON 6 QUALIFIER5”，字体为粗体无衬线字体，颜色为白色，带有黄色和红色的高光效果，大小适中且醒目。画面构图以左侧人物形象和右侧标题为主，人物面部表情严肃，背景为蓝色调和暗色调的对比，吸睛元素包括人物的妆容、手势以及标题文字。整体感觉充满动感和紧张感，符合电子竞技或格斗游戏的主题。",0.82,0.78,0.85,0.75
3493262679607912,"活了快30年 被相亲男毁三观 被我拒绝之后 直接破防造我煌谣","https://www.bilibili.com/video/BV1shX6YbEN8","BV1shX6YbEN8",1487,1,4,22,0,6,28986770959,"美食制作","http://i0.hdslb.com/bfs/archive/3f82f43dbd4e991c9f5c5180f69328da2a53158b.jpg",1230,19804,501305,1217,411.9186524239934,"merged.csv","图中有标题文字，文字为“《一口气看完》我失手打我弟一下，我弟直接装瘫痪，道德绑架要我负责，替他买房买车养他”，字体为白色加粗，大小适中，背景为棕色纹理。构图简洁，左上角有箭头图案作为点缀。色彩风格以棕色为主，显得沉稳厚重。吸睛元素是标题文字和箭头图案，整体感觉幽默且带有讽刺意味。",0.7,0.65,0.6,0.55
1162452512,"何苏叶！伟大的引导型恋人！！！","https://www.bilibili.com/video/BV1MAXrYqE8x","BV1MAXrYqE8x",1047,0,0,64,0,11,28987099229,"娱乐杂谈","http://i1.hdslb.com/bfs/archive/bfb0cf51fcebe8450b123655e421540548884a91.jpg",27,2557,1353351,1879,720.250665247472,"merged.csv","图中无标题文字。画面构图为近景特写，主体为人物面部，背景模糊，突出人物表情。色彩风格柔和，以暖色调为主，营造出温馨氛围。吸睛元素为人物的眼神和面部表情，整体感觉细腻、深情且略带忧郁。",0.6,0.75,0.7,0.65
431216016,"【Teki美瞳测评】“爱人的眼睛是最小的海。”","https://www.bilibili.com/video/BV11eQfYLEUa","BV11eQfYLEUa",499,0,0,16,0,13,28955642700,"仿妆cos","http://i2.hdslb.com/bfs/archive/26cc21ba8abda9a16947a91a49c7fa2d75098551.jpg",46,15030,75771,192,394.640625,"merged.csv","图中有标题文字，文字为“最小的海”，字体为白色，大小适中，风格简洁明了。画面构图以一只眼睛为主体，眼睛中植入了蓝色隐形眼镜，视觉冲击力强。色彩风格以冷色调为主，蓝色和白色搭配干净、清爽。吸睛元素是放大且清晰的眼睛和隐形眼镜，整体感觉清新、梦幻且略带神秘感。",0.78,0.8,0.85,0.82
3461572087253048,"爆料！详细说杨和肖在一起的经过","https://www.bilibili.com/video/BV124QRYeEAB","BV124QRYeEAB",2425,2,2,26,4,12,28948106738,"娱乐杂谈","http://i0.hdslb.com/bfs/archive/0d20ddcb42f76ae02de00c7d26bd19f41b4751e3.jpg",537,3144,138641,621,223.25442834138485,"merged.csv","图中无标题文字。画面分为左右两部分，左侧为一位穿着浅蓝色上衣的女性，右侧为一位穿着黑色背心的男性，背景简单，主要以人物为主。构图对称，色彩柔和且对比鲜明，女性部分偏冷色调，男性部分偏暖色调。吸睛元素为人物表情和姿态，整体感觉轻松、生活化。",0.65,0.7,0.75,0.6
3546582785985016,"No4 在泰国遇到的形形色色的人和事04","https://www.bilibili.com/video/BV1dsXjYLE2r","BV1dsXjYLE2r",840,0,4,29,0,4,28930869021,"日常","http://i0.hdslb.com/bfs/archive/5f99b65e6ccc26aaae1675f8ecbbfca895312f00.jpg",855,13293,46003,274,167.8941605839416,"merged.csv","图中有标题文字，内容为“我在泰国遇见的那些人 04”，字体为白色，大小适中，采用简洁的无衬线字体。画面构图为人物特写，人物戴白色帽子和眼镜，表情严肃，背景为室内环境。色彩风格偏冷调，以灰蓝和白色为主。吸睛元素为人物面部表情和标题文字。整体感觉朴素、真实，带有一定的纪实感。",0.55,0.6,0.65,0.5
28848481,"Vol.459🍚厨房 [ lofi mix ]","https://www.bilibili.com/video/BV1YWXGY8E2i","BV1YWXGY8E2i",1209,0,10,62,2,43,28923724803,"音乐综合","http://i0.hdslb.com/bfs/archive/96e51dd8cd78b14944e99a2b19bdbbb32af67fca.jpg",3925,52259,168540,608,277.20394736842104,"merged.csv","图中无标题文字。画面构图为一位金发女性在厨房操作，背景为橱柜和植物，整体布局平衡。色彩风格柔和温馨，以暖色调为主，突出家庭氛围。吸睛元素为女性的侧脸和厨房的细节布置，整体感觉舒适、生活化且略带治愈感。",0.5,0.65,0.7,0.55
316762841,"【Koji】复归于衡，此任吾托付于汝","https://www.bilibili.com/video/BV1LWQ9YmEXE","BV1LWQ9YmEXE",972,0,1,28,1,2,28934669899,"短片","http://i0.hdslb.com/bfs/archive/7165fc444fcfc74498caedd1c575c4e0e7650019.jpg",295,60473,132749,426,311.6173708920188,"merged.csv","图中有标题文字，标题为“KOTT”，字体为红色，粗体大号，风格醒目。下方有“SUZANNE AWARD”和“BCON20 BEST SHORT FILM”字样，字体较小，为白色。画面构图简洁，以黑色背景为主，人物剪影位于中央偏下位置，手持长剑，姿态动态。色彩风格冷峻、对比强烈，吸睛元素为红色标题和人物剪影的动态姿势。整体感觉神秘、紧张且充满力量感。",0.72,0.68,0.75,0.7
220352273,"【高考倒计时77 天】气体等温变化实验，你真的无懈可击吗？一道题来看看自己的真正实力！","https://www.bilibili.com/video/BV1JdX5YjEWN","BV1JdX5YjEWN",2227,25,64,123,1,69,28935064493,"校园学习","http://i0.hdslb.com/bfs/archive/d606aa361fbb588571de7d418cd81b0c643d2726.jpg",749,28954,27968,212,131.9245283018868,"merged.csv","图中有标题文字，内容为“等温变化实验”，字体较大，居中位置，采用黑体或类似粗体样式。画面构图以文字为主，背景为浅色，上方有“Day42 探究等温情况下一定质量气体压强与体积的关系”的标题，下方有较小的说明文字和一个男性头像。色彩风格简洁明快，主要以白色和黑色为主，吸睛元素为大标题和头像。整体感觉专业且信息清晰。",0.68,0.72,0.65,0.6
156549177,"婚前焦虑的嘴硬未婚夫","https://www.bilibili.com/video/BV1QrXuYnEYH","BV1QrXuYnEYH",35034,11,41,5218,98,281,28918812404,"日常","http://i1.hdslb.com/bfs/archive/8e30691d5760e0e5ae213246fa347bbd83eab9ba.jpg",22,67279,649632,48,13534.0,"merged.csv","图中无标题文字。画面为聊天对话框截图，左侧为浅蓝色背景，右侧为白色背景，文字为黑色或黄色高亮。对话内容涉及日常交流和提醒，整体风格简洁明了，色彩对比鲜明。吸睛元素为黄色高亮文字，突出重要信息。整体感觉轻松、生活化，符合日常聊天场景。",0.75,0.82,0.85,0.78
404080121,"suna[无人声]吃糯叽叽大福纯享版，耳朵怀孕了～（剪掉吃水果部分）助眠","https://www.bilibili.com/video/BV1xMXTYKEEa","BV1xMXTYKEEa",3890,0,18,85,3,133,28916777911,"美食记录","http://i1.hdslb.com/bfs/archive/ed1b537d647a7d8b4a2dd3caa9a877a6959fba36.jpg",418,6941,63272,481,131.54261954261955,"merged.csv","图中无标题文字。画面构图中，主体为一位女性，位于画面中央偏左，背景为黑色，突出人物和前景的橙色物体（类似橙子或果冻）。色彩风格对比强烈，以黑色背景衬托橙色和白色（可能是衣服或装饰物），吸睛元素为前景的橙色物体和人物的动作（正在吃东西）。整体感觉活泼且具有生活气息，可能与美食或日常生活相关。",0.68,0.72,0.79,0.65
1940702417,"日本的未来15","https://www.bilibili.com/video/BV1zdQhY4E5F","BV1zdQhY4E5F",106,0,0,2,0,1,28900854537,"日常","http://i0.hdslb.com/bfs/archive/f828954831acac97040dbbf5ac989bf6de6d0a56.jpg",235,14852,101247,289,350.3356401384083,"merged.csv","图中无标题文字。画面构图为一人手持手机，镜头特写其手部和手机，背景模糊，突出主体。色彩风格以冷色调为主，白色、黑色和灰色占比大，营造简洁现代感。吸睛元素为人物手部动作和手机屏幕的反光。整体感觉简洁、科技感强，传递专注或互动的氛围。",0.45,0.38,0.6,0.55
4143984,"鲁迪再次重逢前女友！猫狗为何要决斗呢？《无职转生》剧情解说第十三卷下","https://www.bilibili.com/video/BV1udQ8YBEeS","BV1udQ8YBEeS",9516,238,880,1023,20,249,28893907005,"动漫杂谈","http://i1.hdslb.com/bfs/archive/abcaf53218e983b3ae6b47dfc2a81468a4a79496.jpg",2347,212979,1678376,253,6633.897233201581,"merged.csv","图中有标题文字，为“猫狗大战”，字体较大，颜色为白色，带红色描边，位于左上角。画面构图以两个表情夸张的角色为主，一个黑发角色和一个白发角色对峙，眼睛瞪大、表情愤怒。色彩风格鲜艳，对比强烈，主要以红色和白色为主。吸睛元素包括夸张的表情、动态的线条和鲜艳的颜色。整体感觉充满戏剧性和冲突感，具有漫画式的幽默与张力。",0.82,0.88,0.9,0.85
3070160,"「助眠温泉白噪音」Ancient Roman Bath Ambience | Water Bubble Sounds for Sleep, Study...","https://www.bilibili.com/video/BV1HaRjYtEfx","BV1HaRjYtEfx",20,0,0,0,0,1,28800059952,"日常","http://i1.hdslb.com/bfs/archive/287a49bea216793ad467099f20141dac4e93c988.jpg",28801,411,1217,156,7.801282051282051,"merged.csv","图中无标题文字。画面构图为对称式，中央是一个深邃的泳池，两侧是高大的石柱和墙面，顶部有暖黄色的灯光点缀。色彩风格以冷色调为主，泳池水面反射出微弱的光，整体氛围神秘而宁静。吸睛元素为泳池中央漂浮的不明物体和两侧石柱的光影效果。整体感觉阴郁、沉静且略带悬疑感。",0.55,0.62,0.7,0.58
28124865,"【齐司礼】穿衣口诀","https://www.bilibili.com/video/BV1MrRMYJERp","BV1MrRMYJERp",289,0,0,5,0,1,28787933360,"手机游戏","http://i2.hdslb.com/bfs/archive/6b76a438de127ea603432d6906c9441567621c9c.jpg",40,1769,91259,1347,67.74981440237565,"merged.csv","图中有标题文字，内容为“希望你真的把我说的穿衣口诀记在心里。”“不用着急，因为料想到这种情况，我预留了你手忙脚乱的时间。”“需要帮忙的话就叫我，我就在楼下。”文字为白色，字体大小适中，风格简洁。

画面构图为对话框形式，色彩风格温馨柔和，主要以粉色和白色为主。吸睛元素是对话框中的卡通人物形象，整体感觉轻松、可爱且富有生活气息。",0.78,0.8,0.83,0.75
592004400,"ドラフト候補者プロフィール④：須藤凜々花","https://www.bilibili.com/video/BV1MG9QYNEau","BV1MG9QYNEau",23,1,0,4,0,0,28741927754,"明星综合","http://i2.hdslb.com/bfs/archive/ba4af4ab2fe03fd8f9806e4e7219d0c413d4e56c.jpg",222,6194,40140,7123,5.635266039590061,"merged.csv","图中有标题文字，内容为“ダンス”，字体为白色，样式为简洁的无衬线字体，大小适中。画面构图以人物为主，人物位于中央偏左，背景为浅色墙面，色彩风格简洁明快。吸睛元素为人物的面部表情和手势，整体感觉清新自然、轻松活泼。",0.6,0.65,0.72,0.68
3546646617000070,"3.1  下  04  03","https://www.bilibili.com/video/BV1EFX4YVE8v","BV1EFX4YVE8v",124,0,0,0,0,0,29012791094,"手机游戏","http://i2.hdslb.com/bfs/archive/0d62870211c9249633f7f3a6e047840b8eb8a5b4.jpg",22,8,1549,542,2.857933579335793,"merged.csv","图中有标题文字，显示为“T. RESTOR”。文字大小适中，字体为简约的无衬线字体，颜色为白色，带有黑色描边，易于辨认。

画面构图为两名角色背对观众站立，左侧角色赤裸上身，右侧角色穿着长袍。背景为室内场景，色彩风格偏向复古与暗沉，以棕褐色和灰色为主。吸睛元素为角色的服饰细节和背景中的装饰品。整体感觉神秘且充满故事性，具有中世纪或奇幻风格。",0.5,0.55,0.65,0.6
693482621,"能救一个是一个，千万不要在多重施法里玩镜","https://www.bilibili.com/video/BV1oFX4YGEjY","BV1oFX4YGEjY",86907,45,16,1225,53,70,29012724686,"电子竞技","http://i2.hdslb.com/bfs/archive/4db77829fd665a0351c18345dd3f642eea28162b.jpg",130,23,249,35,7.114285714285714,"merged.csv","图中有标题文字，内容为“长歌怀采薇（镜）没赤过史的可以来多霞施法玩一下镜”，字体为白色，大小适中，采用简洁的无衬线字体。画面构图以深色背景为主，中央有一个蓝色圆形图标，图标内有白色线条图案，显得简约而神秘。整体色彩风格冷色调为主，吸睛元素是中央的蓝色图标和白色文字。整体感觉现代且略带科技感。",0.7,0.75,0.8,0.72
40919475,"美国六代机来了，F-47结果深度分析！","https://www.bilibili.com/video/BV1oEXWYYEct","BV1oEXWYYEct",642,0,0,16,0,1,29012460752,"科学科普","http://i2.hdslb.com/bfs/archive/c269cb32050d6fb6609dfe0e0149181407227906.jpg",120,8690,262805,41,6409.878048780488,"merged.csv","图中有标题文字，内容为“美国六代机 F-47来了”，字体为白色，大小适中，样式为简洁的无衬线字体。画面构图以深色背景为主，前景突出一个尖锐的机头形状，色彩风格冷峻、科技感强。吸睛元素是机头的流线型设计和白色高光，整体感觉神秘、未来感十足。",0.85,0.78,0.88,0.82
627040687,"1500左右，四款价格大跳水的影像旗舰！","https://www.bilibili.com/video/BV1kZXrYfEtV","BV1kZXrYfEtV",7089,5,8,107,1,264,28984410888,"数码","http://i2.hdslb.com/bfs/archive/e0aac2498eb8eeb9aa348a6dca2d36e90e5e8f27.jpg",118,66716,1575454,470,3352.0297872340425,"merged.csv","图中有标题文字，内容为“1500左右 四款价格大跳水的 影像旗舰！”，字体为白色加粗，大小适中，风格醒目。

构图方面，文字居中突出，背景为模糊的手机镜头特写，形成主次分明的效果。色彩风格以冷色调为主，突出科技感。吸睛元素为文字标题和手机镜头细节。整体感觉简洁明了，科技感强，吸引对手机感兴趣的观众。",0.75,0.68,0.85,0.72
3546695392562115,"［一念逍遥］周活动道具数量，修正版。","https://www.bilibili.com/video/BV1oFX4YGEh7","BV1oFX4YGEh7",516,0,0,13,1,4,29012790620,"手机游戏","http://i0.hdslb.com/bfs/archive/41ba8befdfa50f2a1d216f8a751c4d8d2598bb65.jpg",185,89,4604,72,63.94444444444444,"merged.csv","图中有标题文字，内容为“妖兽：白夜虎”，字体为白色，大小适中，样式为简洁的无衬线字体。画面构图以暗色调为主，背景为深蓝渐变色，突出中央的白色妖兽形象（白夜虎），妖兽线条流畅、细节丰富，具有神秘感。吸睛元素是妖兽形象和下方的红色信息框，整体感觉充满奇幻与紧张氛围。",0.62,0.65,0.78,0.69
1634257378,"[OOC致歉][张起灵吃播/COS]吴邪说吃播会火，我信了","https://www.bilibili.com/video/BV17cX4YkExt","BV17cX4YkExt",138,0,0,0,0,0,29012526619,"国产原创相关","http://i2.hdslb.com/bfs/archive/ef209ab82f3356efe6ab81e58806605de69df6c6.jpg",290,30,144,6,24.0,"merged.csv","图中无标题文字。画面构图以人物上半身为焦点，人物穿着深蓝色连帽衫，背景为浅色，视觉上形成对比。色彩风格简洁明快，主要以蓝色和浅色为主，营造出清新感。吸睛元素为人物的服装和模糊处理的脸部，整体感觉干净、简约且略带神秘感。",0.45,0.52,0.6,0.88
690301462,"【3169501】我的最新作品，快来一睹为快！","https://www.bilibili.com/video/BV1ZFX4YGEYC","BV1ZFX4YGEYC",14,0,0,0,0,0,29012790444,"日常","http://i2.hdslb.com/bfs/archive/9e5778b198c3f5cea78d13d7fd02c35e3ab6eb56.jpg",30,39,3,2,1.5,"merged.csv","图中无标题文字。画面构图以黑色边框为主，占据了大部分视觉空间，背景模糊，可能为室内环境的一部分。色彩风格以冷色调为主，黑色边框与浅色背景形成对比，吸睛元素为边框的质感和细节。整体感觉简洁、现代，略带神秘感。",0.3,0.25,0.4,0.35
